iter	RMSE
0	0.3940543138
1	0.3868929376
2	0.3800544053
3	0.3738750851
4	0.367595707
5	0.3613280621
6	0.3554686257
7	0.3499790283
8	0.3441934202
9	0.3387780509
10	0.333626893
11	0.3285931076
12	0.3238402724
13	0.319083323
14	0.3146449127
15	0.3101125243
16	0.3059717874
17	0.3017409154
18	0.2975914277
19	0.2933017542
20	0.289066562
21	0.2847208486
22	0.2807928974
23	0.2770965176
24	0.2734696173
25	0.270415648
26	0.266854671
27	0.2637209529
28	0.2601694473
29	0.2569353131
30	0.2539365353
31	0.2511591521
32	0.2483989721
33	0.2453472881
34	0.2423742865
35	0.2396616204
36	0.2370158131
37	0.2342367945
38	0.2319714682
39	0.2295914317
40	0.2271537959
41	0.2248009072
42	0.222433438
43	0.2203204195
44	0.2183270181
45	0.2164386734
46	0.2145177781
47	0.2127389439
48	0.2108000282
49	0.2090781867
50	0.2076273376
51	0.2059783598
52	0.204397551
53	0.2029360167
54	0.2013964658
55	0.1997615085
56	0.1982342917
57	0.1968010249
58	0.1953754194
59	0.193754322
60	0.1923928185
61	0.190941942
62	0.1895475941
63	0.1882665408
64	0.187009928
65	0.185783822
66	0.1848375368
67	0.1837026468
68	0.1825715456
69	0.1816972641
70	0.180778652
71	0.1797176649
72	0.1786354313
73	0.1776417795
74	0.1768146868
75	0.1759961868
76	0.1750584282
77	0.1741940777
78	0.1735731941
79	0.1727656163
80	0.172053889
81	0.1712243367
82	0.1705249031
83	0.1698637556
84	0.1690134789
85	0.168236788
86	0.1676518331
87	0.1669865005
88	0.1664323438
89	0.1657077642
90	0.1651298496
91	0.1644778522
92	0.1639250624
93	0.1632780342
94	0.1628560707
95	0.1622404353
96	0.1616382584
97	0.1609961267
98	0.1605319082
99	0.1600817337
100	0.1595918311
101	0.1591297732
102	0.1587167399
103	0.1581184227
104	0.157718456
105	0.1572778635
106	0.1568674086
107	0.156421656
108	0.1559492721
109	0.1555503329
110	0.1551125088
111	0.1547275529
112	0.154353744
113	0.1539818028
114	0.153604784
115	0.1532346775
116	0.1528830435
117	0.152619995
118	0.1522791139
119	0.1518967068
120	0.1515135742
121	0.1511395069
122	0.1507889101
123	0.1505145927
124	0.1502134419
125	0.1498655977
126	0.1495433884
127	0.1492578972
128	0.1489939086
129	0.1486998182
130	0.1484438433
131	0.1481745753
132	0.1479612898
