iter	Passed	Remaining
0	0	936
1	1	810
2	2	802
3	3	828
4	4	820
5	4	814
6	5	807
7	6	792
8	7	790
9	7	775
10	8	760
11	9	748
12	9	748
13	10	741
14	11	731
15	11	723
16	12	717
17	13	710
18	13	704
19	14	700
20	14	696
21	15	692
22	16	704
23	17	705
24	18	702
25	18	699
26	19	697
27	19	694
28	20	690
29	21	688
30	21	684
31	22	686
32	23	687
33	24	685
34	24	683
35	25	680
36	26	678
37	26	676
38	27	673
39	27	671
40	28	670
41	29	671
42	30	669
43	30	668
44	31	666
45	32	664
46	32	662
47	33	660
48	33	658
49	34	657
50	35	656
51	36	659
52	36	658
53	37	657
54	38	656
55	38	654
56	39	652
57	40	651
58	40	649
59	41	647
60	42	648
61	42	647
62	43	646
63	44	644
64	44	642
65	45	641
66	45	639
67	46	638
68	47	636
69	47	635
70	48	636
71	49	635
72	49	633
73	50	632
74	51	630
75	51	629
76	52	627
77	52	626
78	53	624
79	54	623
80	55	624
81	55	623
82	56	622
83	56	621
84	57	619
85	58	618
86	58	616
87	59	615
88	60	614
89	60	613
90	61	614
91	62	613
92	62	612
93	63	611
94	64	609
95	64	608
96	65	607
97	65	606
98	66	605
99	67	604
100	67	604
101	68	603
102	69	602
103	69	601
104	70	600
105	71	599
106	71	598
107	72	597
108	72	596
109	73	596
110	74	596
111	75	595
112	75	593
113	76	592
114	76	591
115	77	590
116	78	589
117	78	587
118	79	586
119	79	585
120	80	586
121	81	585
122	81	584
123	82	583
124	83	582
125	83	581
126	84	580
127	85	579
128	85	578
129	86	577
130	87	577
131	87	576
132	88	575
133	88	574
134	89	573
135	90	572
136	90	570
137	91	569
138	91	568
139	92	567
140	93	568
141	93	567
142	94	566
143	95	565
144	95	564
145	96	563
146	96	562
147	97	560
148	98	559
149	98	558
150	99	558
151	99	557
152	100	557
153	101	556
154	101	555
155	102	554
156	103	553
157	103	552
158	104	551
159	104	550
160	105	550
161	106	550
162	106	548
163	107	547
164	107	545
165	108	544
166	108	543
167	109	542
168	110	541
169	110	541
170	111	540
171	112	539
172	112	539
173	113	539
174	114	538
175	114	537
176	115	536
177	115	535
178	116	534
179	117	533
180	117	532
181	118	532
182	119	532
183	119	531
184	120	531
185	121	530
186	121	528
187	122	528
188	122	527
189	123	526
190	123	524
191	124	523
192	125	523
193	125	522
194	126	521
195	126	520
196	127	519
197	128	518
198	128	517
199	129	516
200	129	516
201	130	515
202	131	514
203	132	515
204	132	514
205	133	513
206	133	512
207	134	511
208	134	510
209	135	510
210	136	509
211	136	508
212	137	507
213	138	507
214	138	506
215	139	505
216	139	504
217	140	503
218	140	502
219	141	502
220	142	501
221	142	500
222	143	499
223	144	500
224	144	499
225	145	498
226	146	497
227	146	496
228	147	496
229	147	495
230	148	494
231	149	493
232	149	492
233	150	493
234	151	492
235	151	491
236	152	490
237	153	490
238	153	489
239	154	488
240	154	487
241	155	486
242	156	486
243	156	485
244	157	485
245	158	484
246	158	483
247	159	483
248	159	481
249	160	481
250	160	480
251	161	478
252	161	478
253	162	477
254	163	477
255	164	476
256	164	475
257	165	475
258	165	474
259	166	473
260	166	472
261	167	472
262	168	471
263	168	470
264	169	470
265	170	469
266	170	469
267	171	468
268	172	467
269	172	466
270	173	465
271	173	464
272	174	464
273	174	463
274	175	462
275	176	462
276	176	461
277	177	461
278	178	460
279	178	459
280	179	458
281	179	457
282	180	457
283	180	456
284	181	455
285	182	454
286	182	454
287	183	453
288	184	453
289	184	452
290	185	451
291	186	451
292	186	450
293	187	449
294	187	448
295	188	448
296	189	447
297	189	446
298	190	445
299	190	445
300	191	444
301	191	443
302	192	442
303	193	442
304	193	441
305	194	440
306	194	439
307	195	439
308	196	438
309	196	437
310	197	437
311	197	436
312	198	435
313	199	434
314	199	434
315	200	433
316	200	432
317	201	432
318	202	431
319	202	430
320	203	430
321	203	429
322	204	428
323	205	427
324	205	427
325	206	426
326	206	425
327	207	425
328	208	424
329	209	424
330	209	424
331	210	423
332	211	422
333	211	422
334	212	421
335	212	420
336	213	420
337	214	419
338	214	419
339	215	418
340	216	417
341	216	416
342	217	416
343	217	415
344	218	414
345	219	414
346	219	413
347	220	412
348	221	412
349	221	411
350	222	411
351	222	410
352	223	409
353	224	408
354	224	408
355	225	407
356	225	406
357	226	406
358	227	405
359	227	404
360	228	404
361	228	403
362	229	402
363	229	401
364	230	401
365	231	400
366	231	399
367	232	398
368	232	398
369	233	397
370	234	396
371	234	396
372	235	395
373	235	394
374	236	394
375	237	393
376	237	392
377	238	391
378	238	391
379	239	390
380	240	390
381	240	389
382	241	388
383	242	388
384	242	387
385	243	386
386	243	386
387	244	385
388	244	384
389	245	383
390	246	383
391	246	382
392	247	382
393	247	381
394	248	380
395	249	380
396	249	379
397	250	378
398	250	377
399	251	377
400	252	376
401	252	376
402	253	375
403	253	374
404	254	374
405	255	373
406	255	372
407	256	371
408	256	371
409	257	370
410	257	369
411	258	369
412	259	368
413	260	368
414	260	367
415	261	366
416	261	365
417	262	365
418	262	364
419	263	363
420	264	363
421	264	362
422	265	362
423	266	361
424	266	360
425	267	360
426	267	359
427	268	358
428	269	358
429	269	357
430	270	356
431	270	356
432	271	355
433	272	354
434	272	354
435	273	353
436	273	352
437	274	352
438	275	351
439	275	350
440	276	350
441	277	349
442	277	349
443	278	348
444	279	348
445	279	347
446	280	347
447	281	346
448	281	345
449	282	345
450	283	344
451	283	344
452	284	343
453	285	342
454	285	342
455	286	341
456	286	340
457	287	340
458	288	339
459	288	339
460	289	338
461	290	337
462	290	337
463	291	336
464	292	335
465	292	335
466	293	334
467	293	334
468	294	333
469	295	332
470	295	332
471	296	331
472	296	330
473	297	330
474	298	329
475	298	328
476	299	328
477	299	327
478	300	326
479	301	326
480	301	325
481	302	324
482	302	324
483	303	323
484	303	322
485	304	322
486	305	321
487	305	320
488	306	319
489	307	319
490	307	319
491	308	318
492	309	317
493	309	317
494	310	316
495	310	315
496	311	315
497	312	314
498	312	313
499	313	313
500	314	312
501	314	312
502	315	311
503	315	310
504	316	310
505	316	309
506	317	308
507	318	307
508	318	307
509	319	306
510	319	306
511	320	305
512	321	304
513	321	304
514	322	303
515	322	302
516	323	302
517	323	301
518	324	300
519	325	300
520	325	299
521	326	298
522	326	298
523	327	297
524	328	296
525	328	296
526	329	295
527	329	294
528	330	294
529	331	293
530	331	292
531	332	292
532	332	291
533	333	291
534	334	290
535	334	289
536	335	289
537	335	288
538	336	287
539	337	287
540	337	286
541	338	285
542	338	285
543	339	284
544	340	283
545	340	283
546	341	282
547	341	282
548	342	281
549	343	280
550	343	279
551	344	279
552	344	278
553	345	278
554	345	277
555	346	276
556	347	276
557	347	275
558	348	274
559	348	274
560	349	273
561	349	272
562	350	272
563	351	271
564	351	270
565	352	270
566	353	269
567	353	269
568	354	268
569	355	267
570	355	267
571	356	266
572	357	266
573	358	265
574	358	265
575	359	264
576	359	263
577	360	263
578	361	262
579	361	261
580	362	261
581	362	260
582	363	259
583	363	259
584	364	258
585	365	258
586	365	257
587	366	256
588	366	256
589	367	255
590	368	254
591	368	254
592	369	253
593	369	252
594	370	252
595	371	251
596	371	250
597	372	250
598	372	249
599	373	248
600	373	248
601	374	247
602	375	246
603	375	246
604	376	245
605	376	244
606	377	244
607	378	243
608	378	243
609	379	242
610	379	241
611	380	241
612	381	240
613	381	239
614	382	239
615	382	238
616	383	238
617	384	237
618	384	236
619	385	236
620	385	235
621	386	234
622	387	234
623	387	233
624	388	233
625	388	232
626	389	231
627	390	231
628	390	230
629	391	229
630	392	229
631	392	228
632	393	227
633	393	227
634	394	226
635	394	226
636	395	225
637	396	224
638	397	224
639	397	223
640	398	223
641	399	222
642	399	221
643	400	221
644	400	220
645	401	220
646	402	219
647	403	218
648	403	218
649	404	217
650	404	217
651	405	216
652	405	215
653	406	215
654	407	214
655	407	213
656	408	213
657	409	212
658	409	212
659	410	211
660	411	210
661	411	210
662	412	209
663	412	208
664	413	208
665	414	207
666	414	206
667	415	206
668	416	205
669	416	205
670	417	204
671	417	203
672	418	203
673	418	202
674	419	201
675	420	201
676	420	200
677	421	200
678	421	199
679	422	198
680	423	198
681	423	197
682	424	196
683	424	196
684	425	195
685	426	194
686	426	194
687	427	193
688	427	193
689	428	192
690	429	191
691	429	191
692	430	190
693	430	190
694	431	189
695	432	188
696	432	188
697	433	187
698	433	186
699	434	186
700	435	185
701	435	184
702	436	184
703	436	183
704	437	183
705	437	182
706	438	181
707	439	181
708	439	180
709	440	179
710	440	179
711	441	178
712	442	177
713	442	177
714	443	176
715	443	176
716	444	175
717	444	174
718	445	174
719	446	173
720	446	172
721	447	172
722	448	171
723	448	171
724	449	170
725	449	169
726	450	169
727	450	168
728	451	167
729	452	167
730	452	166
731	453	166
732	454	165
733	454	164
734	455	164
735	455	163
736	456	162
737	456	162
738	457	161
739	458	160
740	458	160
741	459	159
742	459	159
743	460	158
744	461	157
745	461	157
746	462	156
747	462	155
748	463	155
749	463	154
750	464	154
751	465	153
752	465	152
753	466	152
754	467	151
755	467	151
756	468	150
757	469	149
758	469	149
759	470	148
760	470	147
761	471	147
762	471	146
763	472	145
764	473	145
765	473	144
766	474	144
767	475	143
768	475	142
769	476	142
770	476	141
771	477	141
772	478	140
773	478	139
774	479	139
775	480	138
776	480	138
777	481	137
778	482	136
779	482	136
780	483	135
781	483	134
782	484	134
783	485	133
784	485	133
785	486	132
786	486	131
787	487	131
788	488	130
789	488	129
790	489	129
791	489	128
792	490	128
793	491	127
794	491	126
795	492	126
796	493	125
797	493	124
798	494	124
799	494	123
800	495	123
801	495	122
802	496	121
803	497	121
804	497	120
805	498	119
806	499	119
807	499	118
808	500	118
809	500	117
810	501	116
811	501	116
812	502	115
813	503	114
814	503	114
815	504	113
816	504	113
817	505	112
818	506	111
819	506	111
820	507	110
821	507	109
822	508	109
823	508	108
824	509	108
825	510	107
